keyword,clicks,impressions,ctr,position,segment,intent,content_type,cluster,performance,priority,target_page,action,notes
"riparazione macchine da cucire firenze",22,475,"4.63%","4.75","local","service","service","Local Service","good","P1","index.html; assistenza.html","Ottimizza title/desc per CTR + rinforza segnali local","Core query"
"riparazione macchine da cucire vicino a me",6,525,"1.14%","4.83","local","service","service","Local Service","low_ctr","P1","index.html; assistenza.html","Aggiungi copy 'Vicino a te', aree servite, markup LocalBusiness","Molte impression, CTR bassa"
"riparazione macchine da cucire singer firenze",6,249,"2.41%","4.41","brand+local","service","service","Brand Singer","good","P1","riparazione-singer.html","Rafforza pagina brand + internal linking",""
"riparazione macchine da cucire",6,146,"4.11%","5.34","generic","service","service","Generic Service","good","P2","index.html; assistenza.html","Migliora snippet SERP; evidenzia USP",""
"riparazione macchine da cucire singer vicino a me",5,261,"1.92%","6.95","brand+local","service","service","Brand Singer","fair","P2","riparazione-singer.html","Local signals + CTA forte marca",""
"macchine da cucire firenze",5,243,"2.06%","8.13","local","mixed","service","Local Generic","fair","P2","index.html","Chiarisci che offri riparazione; evita ambiguità 'vendita'",""
"assistenza singer firenze",5,239,"2.09%","7.17","brand+local","service","service","Brand Singer","fair","P1","riparazione-singer.html","Title/desc orientati a 'Assistenza ufficiale/ricambi'",""
"riparazioni macchine da cucire vicino a me",2,164,"1.22%","5.13","local","service","service","Local Service","low_ctr","P1","index.html; assistenza.html","Migliora meta + badge local fold",""
"riparazione macchine da cucire singer",2,68,"2.94%","15.85","brand","service","service","Brand Singer","low_rank","P2","riparazione-singer.html","Contenuto marca + backlink locali",""
"macchine da cucire janome recensioni",2,60,"3.33%","15.42","brand","informational","guide","Informational Guides","low_rank","P3","recensioni-marche.html","Aggiungi sezione Janome, pro/contro, interlinking",""
"meccanico per macchine da cucire",2,32,"6.25%","10.84","generic","service","service","Generic Service","low_rank","P2","assistenza.html","Inserisci sinonimi 'meccanico' nel copy",""
"ricambi singer vicino a me",2,25,"8%","9.76","brand+local","transactional","service","Ricambi","low_rank","P2","ricambi.html; riparazione-singer.html","Sezione ricambi Singer + contatti rapidi",""
"singer firenze",1,277,"0.36%","10.25","brand+local","mixed","service","Brand Singer","low_ctr_low_rank","P1","riparazione-singer.html","Pagina brand forte + FAQ + CTA + schema Service","Molte impression, poco rendimento"
"centri assistenza macchine da cucire singer",1,184,"0.54%","9.17","brand","service","service","Brand Singer","low_ctr","P1","riparazione-singer.html","Evidenzia 'Centro Assistenza', garanzia, tempi",""
"riparazioni macchine da cucire",1,161,"0.62%","12.79","generic","service","service","Generic Service","low_ctr_low_rank","P1","assistenza.html","Arricchisci contenuto + sezioni problemi risolti",""
"riparazione macchine da cucire a domicilio",1,122,"0.82%","9.63","local","service","service","Local Service","low_ctr","P1","assistenza.html","Evidenzia 'a domicilio' in title/H1 + hero",""
"riparazioni macchine da cucire singer",1,99,"1.01%","14.9","brand","service","service","Brand Singer","low_ctr_low_rank","P2","riparazione-singer.html","Più casi reali e ricambi originali",""
"assistenza singer vicino a me",1,81,"1.23%","7.14","brand+local","service","service","Brand Singer","low_ctr","P2","riparazione-singer.html","Sezione 'Vicino a te' + mappa/embed",""
"singer macchina da cucire riparazioni",1,35,"2.86%","28.34","brand","service","service","Brand Singer","low_rank","P3","riparazione-singer.html","Ottimizza long-tail nella pagina brand",""
"negozio macchine da cucire",1,26,"3.85%","5.85","generic","mixed","service","Generic Service","fair","P3","index.html","Chiarire che offri riparazione; link a ricambi/guide",""
"macchine da cucire riparazione",1,26,"3.85%","7.12","generic","service","service","Generic Service","fair","P3","assistenza.html","Allinea H2/H3 con questa variante",""
"riparatore macchine da cucire",1,21,"4.76%","9.19","generic","service","service","Generic Service","low_rank","P3","assistenza.html","Inserisci variante 'riparatore' in sezioni chiave",""
"riparare macchina da cucire",1,18,"5.56%","14.06","generic","informational","guide","Informational Guides","low_rank","P3","manutenzione-macchine.html; guide.html","Crea guida pratica con CTA assistenza",""
"macchine da cucire riparazioni",1,16,"6.25%","16.25","generic","service","service","Generic Service","low_rank","P3","assistenza.html","Copri questa variante in copy/FAQ",""
"riparazione macchine da cucire necchi",1,13,"7.69%","9.15","brand+local","service","service","Brand Necchi","low_rank","P2","riparazione-necchi.html","Rinforza pagina Necchi + casi reali",""
"assistenza macchine da cucire brother",1,11,"9.09%","2.91","brand+local","service","service","Brand Brother","good","P2","riparazione-brother.html","Espandi contenuto + schema Service",""
"riparazione macchina da cucire necchi",1,7,"14.29%","2.29","brand+local","service","service","Brand Necchi","good","P3","riparazione-necchi.html","Mantieni; aggiungi testimonianze",""
"riparazioni macchine da cucire necchi",1,7,"14.29%","5.14","brand+local","service","service","Brand Necchi","good","P3","riparazione-necchi.html","Mantieni; link da home e assistenza",""
"macchine da cucire toyota assistenza",1,6,"16.67%","2","brand+local","service","service","Brand Toyota","good","P2","assistenza-toyota.html","Crea pagina Toyota dedicata",""
"pfaff assistenza",1,3,"33.33%","3.33","brand+local","service","service","Brand Pfaff","good","P2","assistenza-pfaff.html","Crea pagina Pfaff dedicata",""
"dove riparare macchina da cucire",1,2,"50%","3.5","generic","informational","guide","Informational Guides","good","P3","assistenza.html; guide.html","FAQ/guida con CTA servizio",""

